year,age,tm,pos,no.,games_g,games_gs,0-19_fga,0-19_fgm,20-29_fga,20-29_fgm,30-39_fga,30-39_fgm,40-49_fga,40-49_fgm,50+_fga,50+_fgm,scoring_fga,scoring_fgm,lng,scoring_fg%,scoring_xpa,scoring_xpm,scoring_xp%,kickoffs_ko,kickoffs_koyds,kickoffs_tb,kickoffs_tb%,kickoffs_koavg,name,link,playoff_stat,av,tot_fga,tot_fgm,tot_lng,fg%,pat_xpa,pat_xpm,xp%,awards
2002.0,24,BAL,P,15.0,16,0.0,,,,,,,,,,,,,,,,,,2.0,128.0,,,64.0,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2004.0,26,BAL,P,15.0,13,0.0,,,,,,,,,,,,,,,,,,1.0,54.0,,,54.0,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2005.0,27,BAL,P,15.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,16.0,,,16.0,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2011.0,33,ARI,P,9.0,15,0.0,,,,,,,,,,,,,,,,,,3.0,178.0,,,59.3,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2012.0,34,ARI,P,9.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,62.0,,,62.0,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2013.0,35,ARI,P,9.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0,Dave Zastudil,https://www.pro-football-reference.com/players/Z/ZastDa20.htm,False,,,,,,,,,
2017.0,27,OAK,K,2.0,16,0.0,,,5.0,5.0,7.0,5.0,5.0,3.0,4.0,3.0,21.0,16.0,53.0,76.2%,34.0,33.0,97.1%,64.0,4058.0,48.0,75.0%,63.4,Giorgio Tavecchio,https://www.pro-football-reference.com/players/T/TaveGi00.htm,False,2.0,,,,,,,,
2018.0,28,ATL,K,4.0,3,0.0,,,1.0,1.0,,,2.0,2.0,2.0,2.0,5.0,5.0,56.0,100.0%,8.0,8.0,100.0%,,,,,,Giorgio Tavecchio,https://www.pro-football-reference.com/players/T/TaveGi00.htm,False,1.0,,,,,,,,
2024.0,25,GNB,K,44.0,2,0.0,,,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,,,12.0,782.0,10.0,83.3%,65.2,Brayden Narveson,https://www.pro-football-reference.com/players/N/NarvBr00.htm,False,,8.0,6.0,46.0,75.0%,3.0,3.0,100.0%,
2021.0,24,CLE,K,8.0,1,0.0,,,,,1.0,1.0,,,,,1.0,1.0,37.0,100.0%,2.0,1.0,50.0%,5.0,317.0,3.0,60.0%,63.4,Chris Naggar,https://www.pro-football-reference.com/players/N/NaggCh00.htm,False,0.0,,,,,,,,
