player_id,team_id,name,year,age,team,pos,no.,g,gs,holding,false start,decl/offs,all pen.,playoff_stat
AdamIs01,crd,Isaiah Adams,2024.0,24,ARI,OL,74.0,2.0,0.0,0,0,0,0,False
IsmaKe00,crd,Keith Ismael,2023.0,25,ARI,OL,60.0,13.0,0.0,0,0,0,0,False
BartJa00,crd,Jackson Barton,2023.0,28,ARI,OL,66.0,1.0,0.0,0,0,0,0,False
BartJa00,crd,Jackson Barton,2024.0,29,ARI,OL,66.0,1.0,0.0,0,0,0,0,False
BoggTa00,crd,Taylor Boggs,2016.0,29,ARI,OL,65.0,5.0,2.0,0,0,0,0,False
SnydAd20,crd,Adam Snyder,2012.0,30,ARI,OL,68.0,14.0,14.0,1,0,0,2,False
ODonCa00,crd,Carter O'Donnell,2023.0,25,ARI,OL,61.0,5.0,3.0,3,0,0,4,False
OdhiRe00,crd,Rees Odhiambo,2018.0,26,ARI,OL,63.0,1.0,0.0,0,0,0,0,False
BrowEv00,crd,Evan Brown,2024.0,28,ARI,OL,62.0,2.0,2.0,0,0,0,0,False
JohnPa03,crd,Paris Johnson,2023.0,22,ARI,OL,70.0,17.0,17.0,4,1,4,6,False
JohnPa03,crd,Paris Johnson,2024.0,23,ARI,OL,70.0,2.0,2.0,0,0,0,0,False
OhrnRi20,crd,Rich Ohrnberger,2012.0,26,ARI,OL,72.0,13.0,4.0,1,1,0,3,False
PainVi00,crd,Vinston Painter,2017.0,28,ARI,OL,78.0,6.0,0.0,0,0,0,0,False
JohnUl00,crd,Ulrick John,2016.0,24,ARI,OL,75.0,3.0,3.0,1,0,0,1,False
ShipA.20,crd,A.Q. Shipley,2015.0,29,ARI,OL,53.0,12.0,3.0,0,0,0,0,False
ShipA.20,crd,A.Q. Shipley,2016.0,30,ARI,OL,53.0,16.0,16.0,2,2,1,4,False
ShipA.20,crd,A.Q. Shipley,2017.0,31,ARI,OL,53.0,16.0,16.0,1,2,1,4,False
ShipA.20,crd,A.Q. Shipley,2019.0,33,ARI,OL,53.0,16.0,16.0,1,1,0,3,False
SmitLe01,crd,Lecitus Smith,2022.0,24,ARI,OL,54.0,10.0,2.0,1,1,0,2,False
PughJu00,crd,Justin Pugh,2018.0,28,ARI,OL,67.0,7.0,7.0,1,0,0,1,False
PughJu00,crd,Justin Pugh,2019.0,29,ARI,OL,67.0,16.0,16.0,0,3,0,3,False
PughJu00,crd,Justin Pugh,2020.0,30,ARI,OL,67.0,15.0,15.0,4,4,0,9,False
PughJu00,crd,Justin Pugh,2022.0,32,ARI,OL,67.0,5.0,5.0,0,0,0,0,False
SmitEr00,crd,Eric Smith,2021.0,26,ARI,OL,72.0,1.0,0.0,0,0,0,0,False
PottNa00,crd,Nate Potter,2012.0,24,ARI,OL,76.0,8.0,6.0,2,0,0,2,False
PottNa00,crd,Nate Potter,2013.0,25,ARI,OL,76.0,13.0,0.0,0,0,0,0,False
SmitAn23,crd,Andre Smith,2018.0,31,ARI,OL,71.0,8.0,8.0,1,0,3,1,False
HenrMa02,crd,Marcus Henry,2021.0,28,ARI,OL,53.0,5.0,0.0,0,0,0,0,False
HarlSe00,crd,Sean Harlow,2021.0,26,ARI,OL,64.0,15.0,5.0,4,0,0,4,False
HarlSe00,crd,Sean Harlow,2022.0,27,ARI,OL,64.0,17.0,3.0,0,0,1,0,False
GossCo00,crd,Colby Gossett,2018.0,23,ARI,OL,78.0,5.0,4.0,1,2,1,3,False
MileJo00,crd,Joshua Miles,2019.0,23,ARI,OL,66.0,7.0,0.0,0,1,0,1,False
MileJo00,crd,Joshua Miles,2021.0,25,ARI,OL,66.0,10.0,0.0,0,0,0,0,False
GoldZa00,crd,Zack Golditch,2018.0,23,ARI,OL,75.0,2.0,0.0,0,0,0,0,False
GailLa00,crd,Lamont Gaillard,2020.0,24,ARI,OL,53.0,13.0,2.0,1,1,0,2,False
MillJo02,crd,Jordan Mills,2019.0,29,ARI,OL,79.0,3.0,2.0,0,0,0,0,False
FanaPa20,crd,Paul Fanaika,2013.0,27,ARI,OL,74.0,16.0,16.0,1,0,0,1,False
FanaPa20,crd,Paul Fanaika,2014.0,28,ARI,OL,74.0,14.0,14.0,2,3,1,6,False
LarsTe20,crd,Ted Larsen,2014.0,27,ARI,OL,62.0,16.0,16.0,3,6,2,9,False
LarsTe20,crd,Ted Larsen,2015.0,28,ARI,OL,62.0,10.0,10.0,0,3,0,4,False
HumpD.00,crd,D.J. Humphries,2016.0,23,ARI,OL,74.0,13.0,13.0,1,3,1,5,False
