coach_name,coach_id,team_id,season,boxscore_id,event_date,week,home_team_id,opp_team_id,rating
Dennis Allen,AlleDe0,rai,2013,201309080clt,2013-09-08,1,rai,clt,50.0
Bruce Arians,AriaBr0,crd,2013,201309080ram,2013-09-08,1,crd,ram,50.0
Bill Belichick,BeliBi0,nwe,2013,201309080buf,2013-09-08,1,nwe,buf,50.0
Gus Bradley,BradGu0,jax,2013,201309080jax,2013-09-08,1,jax,kan,50.0
Pete Carroll,CarrPe0,sea,2013,201309080car,2013-09-08,1,sea,car,50.0
Rob Chudzinski,ChudRo0,cle,2013,201309080cle,2013-09-08,1,cle,mia,50.0
Tom Coughlin,CougTo0,nyg,2013,201309080dal,2013-09-08,1,nyg,dal,50.0
Jeff Fisher,FishJe0,ram,2013,201309080ram,2013-09-08,1,ram,crd,50.0
John Fox,FoxxJo0,den,2013,201309050den,2013-09-05,1,den,rav,50.0
Leslie Frazier,FrazLe0,min,2013,201309080det,2013-09-08,1,min,det,50.0
Jason Garrett,GarrJa0,dal,2013,201309080dal,2013-09-08,1,dal,nyg,50.0
Jim Harbaugh,HarbJi0,sfo,2013,201309080sfo,2013-09-08,1,sfo,gnb,50.0
John Harbaugh,HarbJo0,rav,2013,201309050den,2013-09-05,1,rav,den,50.0
Chip Kelly,KellCh0,phi,2013,201309090was,2013-09-09,1,phi,was,50.0
Gary Kubiak,KubiGa0,htx,2013,201309090sdg,2013-09-09,1,htx,sdg,50.0
Marvin Lewis,LewiMa0,cin,2013,201309080chi,2013-09-08,1,cin,chi,50.0
Doug Marrone,MarrDo0,buf,2013,201309080buf,2013-09-08,1,buf,nwe,50.0
Mike McCarthy,McCaMi0,gnb,2013,201309080sfo,2013-09-08,1,gnb,sfo,50.0
Mike McCoy,McCoMi1,sdg,2013,201309090sdg,2013-09-09,1,sdg,htx,50.0
Mike Munchak,MuncMi0,oti,2013,201309080pit,2013-09-08,1,oti,pit,50.0
Chuck Pagano,PagaCh0,clt,2013,201309080clt,2013-09-08,1,clt,rai,50.0
Sean Payton,PaytSe0,nor,2013,201309080nor,2013-09-08,1,nor,atl,50.0
Joe Philbin,PhilJo0,mia,2013,201309080cle,2013-09-08,1,mia,cle,50.0
Andy Reid,ReidAn0,kan,2013,201309080jax,2013-09-08,1,kan,jax,50.0
Ron Rivera,RiveRo0,car,2013,201309080car,2013-09-08,1,car,sea,50.0
Rex Ryan,RyanRe0,nyj,2013,201309080nyj,2013-09-08,1,nyj,tam,50.0
Greg Schiano,SchiGr0,tam,2013,201309080nyj,2013-09-08,1,tam,nyj,50.0
Jim Schwartz,SchwJi0,det,2013,201309080det,2013-09-08,1,det,min,50.0
Mike Shanahan,ShanMi0,was,2013,201309090was,2013-09-09,1,was,phi,50.0
Mike Smith,SmitMi0,atl,2013,201309080nor,2013-09-08,1,atl,nor,50.0
Mike Tomlin,TomlMi0,pit,2013,201309080pit,2013-09-08,1,pit,oti,50.0
Marc Trestman,TresMa0,chi,2013,201309080chi,2013-09-08,1,chi,cin,50.0
Dennis Allen,AlleDe0,rai,2013,201309150rai,2013-09-15,2,rai,jax,160.26
Bruce Arians,AriaBr0,crd,2013,201309150crd,2013-09-15,2,crd,det,90.72
Bill Belichick,BeliBi0,nwe,2013,201309120nwe,2013-09-12,2,nwe,nyj,221.525
Gus Bradley,BradGu0,jax,2013,201309150rai,2013-09-15,2,jax,rai,-73.59000000000002
Pete Carroll,CarrPe0,sea,2013,201309150sea,2013-09-15,2,sea,sfo,189.11499999999998
Rob Chudzinski,ChudRo0,cle,2013,201309150rav,2013-09-15,2,cle,rav,72.32
Tom Coughlin,CougTo0,nyg,2013,201309150nyg,2013-09-15,2,nyg,den,208.23499999999996
Jeff Fisher,FishJe0,ram,2013,201309150atl,2013-09-15,2,ram,atl,45.71999999999999
John Fox,FoxxJo0,den,2013,201309150nyg,2013-09-15,2,den,nyg,207.77
Leslie Frazier,FrazLe0,min,2013,201309150chi,2013-09-15,2,min,chi,-86.87
Jason Garrett,GarrJa0,dal,2013,201309150kan,2013-09-15,2,dal,kan,-73.11499999999998
Jim Harbaugh,HarbJi0,sfo,2013,201309150sea,2013-09-15,2,sfo,sea,183.80999999999997
John Harbaugh,HarbJo0,rav,2013,201309150rav,2013-09-15,2,rav,cle,-68.38000000000002
Chip Kelly,KellCh0,phi,2013,201309150phi,2013-09-15,2,phi,sdg,138.425
Gary Kubiak,KubiGa0,htx,2013,201309150htx,2013-09-15,2,htx,oti,263.15999999999997
Marvin Lewis,LewiMa0,cin,2013,201309160cin,2013-09-16,2,cin,pit,80.01999999999997
Doug Marrone,MarrDo0,buf,2013,201309150buf,2013-09-15,2,buf,car,-82.72500000000002
Mike McCarthy,McCaMi0,gnb,2013,201309150gnb,2013-09-15,2,gnb,was,-51.14000000000003
Mike McCoy,McCoMi1,sdg,2013,201309150phi,2013-09-15,2,sdg,phi,-130.14000000000004
Mike Munchak,MuncMi0,oti,2013,201309150htx,2013-09-15,2,oti,htx,112.16
Chuck Pagano,PagaCh0,clt,2013,201309150clt,2013-09-15,2,clt,mia,-30.690000000000012
Sean Payton,PaytSe0,nor,2013,201309150tam,2013-09-15,2,nor,tam,128.765
Joe Philbin,PhilJo0,mia,2013,201309150clt,2013-09-15,2,mia,clt,63.41999999999997
Andy Reid,ReidAn0,kan,2013,201309150kan,2013-09-15,2,kan,dal,206.20999999999998
Ron Rivera,RiveRo0,car,2013,201309150buf,2013-09-15,2,car,buf,-58.83500000000001
Rex Ryan,RyanRe0,nyj,2013,201309120nwe,2013-09-12,2,nyj,nwe,128.12
Greg Schiano,SchiGr0,tam,2013,201309150tam,2013-09-15,2,tam,nor,10.069999999999979
Jim Schwartz,SchwJi0,det,2013,201309150crd,2013-09-15,2,det,crd,222.37999999999997
Mike Shanahan,ShanMi0,was,2013,201309150gnb,2013-09-15,2,was,gnb,2.5249999999999844
Mike Smith,SmitMi0,atl,2013,201309150atl,2013-09-15,2,atl,ram,6.714999999999975
Mike Tomlin,TomlMi0,pit,2013,201309160cin,2013-09-16,2,pit,cin,20.75999999999998
Marc Trestman,TresMa0,chi,2013,201309150chi,2013-09-15,2,chi,min,52.32000000000002
Dennis Allen,AlleDe0,rai,2013,201309230den,2013-09-23,3,rai,den,165.15749999999997
Bruce Arians,AriaBr0,crd,2013,201309220nor,2013-09-22,3,crd,nor,94.96500000000002
Bill Belichick,BeliBi0,nwe,2013,201309220nwe,2013-09-22,3,nwe,tam,102.88
Gus Bradley,BradGu0,jax,2013,201309220sea,2013-09-22,3,jax,sea,-53.885000000000005
Pete Carroll,CarrPe0,sea,2013,201309220sea,2013-09-22,3,sea,jax,184.2725
Rob Chudzinski,ChudRo0,cle,2013,201309220min,2013-09-22,3,cle,min,46.94499999999998
Tom Coughlin,CougTo0,nyg,2013,201309220car,2013-09-22,3,nyg,car,112.33000000000001
Jeff Fisher,FishJe0,ram,2013,201309220dal,2013-09-22,3,ram,dal,67.8675
John Fox,FoxxJo0,den,2013,201309230den,2013-09-23,3,den,rai,165.34750000000003
Leslie Frazier,FrazLe0,min,2013,201309220min,2013-09-22,3,min,cle,-40.41750000000002
Jason Garrett,GarrJa0,dal,2013,201309220dal,2013-09-22,3,dal,ram,-1.4624999999999915
Jim Harbaugh,HarbJi0,sfo,2013,201309220sfo,2013-09-22,3,sfo,clt,68.10749999999997
John Harbaugh,HarbJo0,rav,2013,201309220rav,2013-09-22,3,rav,htx,23.767499999999977
Chip Kelly,KellCh0,phi,2013,201309190phi,2013-09-19,3,phi,kan,84.14749999999998
Gary Kubiak,KubiGa0,htx,2013,201309220rav,2013-09-22,3,htx,rav,273.4625
Marvin Lewis,LewiMa0,cin,2013,201309220cin,2013-09-22,3,cin,gnb,144.54749999999999
Doug Marrone,MarrDo0,buf,2013,201309220nyj,2013-09-22,3,buf,nyj,59.22000000000001
Mike McCarthy,McCaMi0,gnb,2013,201309220cin,2013-09-22,3,gnb,cin,97.63749999999996
Mike McCoy,McCoMi1,sdg,2013,201309220oti,2013-09-22,3,sdg,oti,-18.11250000000001
Mike Munchak,MuncMi0,oti,2013,201309220oti,2013-09-22,3,oti,sdg,-16.33999999999999
Chuck Pagano,PagaCh0,clt,2013,201309220sfo,2013-09-22,3,clt,sfo,42.512499999999974
Sean Payton,PaytSe0,nor,2013,201309220nor,2013-09-22,3,nor,crd,150.21750000000003
Joe Philbin,PhilJo0,mia,2013,201309220mia,2013-09-22,3,mia,atl,42.21500000000002
Andy Reid,ReidAn0,kan,2013,201309190phi,2013-09-19,3,kan,phi,134.30999999999997
Ron Rivera,RiveRo0,car,2013,201309220car,2013-09-22,3,car,nyg,-58.235
Rex Ryan,RyanRe0,nyj,2013,201309220nyj,2013-09-22,3,nyj,buf,140.64999999999998
Greg Schiano,SchiGr0,tam,2013,201309220nwe,2013-09-22,3,tam,nwe,-13.205000000000034
Jim Schwartz,SchwJi0,det,2013,201309220was,2013-09-22,3,det,was,127.87000000000003
