Coach,Team,Season,Season_Games,Season_Wins,Season_Losses,Season_Ties,Playoff_Games,Playoff_Wins,Playoff_Losses
Kliff Kingsbury,ARI,2021,17,11,6,0,1.0,0.0,1.0
Arthur Smith,ATL,2021,17,7,10,0,,,
John Harbaugh,BAL,2021,17,8,9,0,,,
Sean McDermott,BUF,2021,17,11,6,0,2.0,1.0,1.0
Matt Rhule,CAR,2021,17,5,12,0,,,
Matt Nagy,CHI,2021,17,6,11,0,,,
Zac Taylor,CIN,2021,17,10,7,0,4.0,3.0,1.0
Kevin Stefanski,CLE,2021,17,8,9,0,,,
Mike McCarthy,DAL,2021,17,12,5,0,1.0,0.0,1.0
Vic Fangio,DEN,2021,17,7,10,0,,,
Dan Campbell,DET,2021,17,3,13,1,,,
Matt LaFleur,GNB,2021,17,13,4,0,1.0,0.0,1.0
David Culley,HOU,2021,17,4,13,0,,,
Frank Reich,IND,2021,17,9,8,0,,,
Darrell Bevell,JAX,2021,4,1,3,0,,,
Urban Meyer,JAX,2021,13,2,11,0,,,
Andy Reid,KAN,2021,17,12,5,0,3.0,2.0,1.0
Brandon Staley,LAC,2021,17,9,8,0,,,
Sean McVay,LAR,2021,17,12,5,0,4.0,4.0,0.0
Jon Gruden,LVR,2021,5,3,2,0,1.0,0.0,1.0
Rich Bisaccia,LVR,2021,12,7,5,0,1.0,0.0,1.0
Brian Flores,MIA,2021,17,9,8,0,,,
Mike Zimmer,MIN,2021,17,8,9,0,,,
Sean Payton,NOR,2021,17,9,8,0,,,
Bill Belichick,NWE,2021,17,10,7,0,1.0,0.0,1.0
Joe Judge,NYG,2021,17,4,13,0,,,
Robert Saleh,NYJ,2021,17,4,13,0,,,
Nick Sirianni,PHI,2021,17,9,8,0,1.0,0.0,1.0
Mike Tomlin,PIT,2021,17,9,7,1,1.0,0.0,1.0
Pete Carroll,SEA,2021,17,7,10,0,,,
Kyle Shanahan,SFO,2021,17,10,7,0,3.0,2.0,1.0
Bruce Arians,TAM,2021,17,13,4,0,2.0,1.0,1.0
Mike Vrabel,TEN,2021,17,12,5,0,1.0,0.0,1.0
Ron Rivera,WAS,2021,17,7,10,0,,,
Kliff Kingsbury,ARI,2020,16,8,8,0,,,
Dan Quinn,ATL,2020,5,0,5,0,,,
Raheem Morris,ATL,2020,11,4,7,0,,,
John Harbaugh,BAL,2020,16,11,5,0,2.0,1.0,1.0
Sean McDermott,BUF,2020,16,13,3,0,3.0,2.0,1.0
Matt Rhule,CAR,2020,16,5,11,0,,,
Matt Nagy,CHI,2020,16,8,8,0,1.0,0.0,1.0
Zac Taylor,CIN,2020,16,4,11,1,,,
Kevin Stefanski,CLE,2020,16,11,5,0,2.0,1.0,1.0
Mike McCarthy,DAL,2020,16,6,10,0,,,
Vic Fangio,DEN,2020,16,5,11,0,,,
Darrell Bevell,DET,2020,5,1,4,0,,,
Matt Patricia,DET,2020,11,4,7,0,,,
Matt LaFleur,GNB,2020,16,13,3,0,2.0,1.0,1.0
Romeo Crennel,HOU,2020,12,4,8,0,,,
Bill O'Brien,HOU,2020,4,0,4,0,,,
Frank Reich,IND,2020,16,11,5,0,1.0,0.0,1.0
Doug Marrone,JAX,2020,16,1,15,0,,,
Andy Reid,KAN,2020,16,14,2,0,3.0,2.0,1.0
Anthony Lynn,LAC,2020,16,7,9,0,,,
Sean McVay,LAR,2020,16,10,6,0,2.0,1.0,1.0
Jon Gruden,LVR,2020,16,8,8,0,,,
Brian Flores,MIA,2020,16,10,6,0,,,
Mike Zimmer,MIN,2020,16,7,9,0,,,
Sean Payton,NOR,2020,16,12,4,0,2.0,1.0,1.0
Bill Belichick,NWE,2020,16,7,9,0,,,
Joe Judge,NYG,2020,16,6,10,0,,,
Adam Gase,NYJ,2020,16,2,14,0,,,
Doug Pederson,PHI,2020,16,4,11,1,,,
Mike Tomlin,PIT,2020,16,12,4,0,1.0,0.0,1.0
Pete Carroll,SEA,2020,16,12,4,0,1.0,0.0,1.0
Kyle Shanahan,SFO,2020,16,6,10,0,,,
Bruce Arians,TAM,2020,16,11,5,0,4.0,4.0,0.0
Mike Vrabel,TEN,2020,16,11,5,0,1.0,0.0,1.0
Ron Rivera,WAS,2020,16,7,9,0,1.0,0.0,1.0
Kliff Kingsbury,ARI,2022,17,4,13,0,,,
Arthur Smith,ATL,2022,17,7,10,0,,,
John Harbaugh,BAL,2022,17,10,7,0,1.0,0.0,1.0
Sean McDermott,BUF,2022,16,13,3,0,2.0,1.0,1.0
Steve Wilks,CAR,2022,12,6,6,0,,,
Matt Rhule,CAR,2022,5,1,4,0,,,
Matt Eberflus,CHI,2022,17,3,14,0,,,
Zac Taylor,CIN,2022,16,12,4,0,3.0,2.0,1.0
Kevin Stefanski,CLE,2022,17,7,10,0,,,
Mike McCarthy,DAL,2022,17,12,5,0,2.0,1.0,1.0
Nathaniel Hackett,DEN,2022,15,4,11,0,,,
Jerry Rosburg,DEN,2022,2,1,1,0,,,
Dan Campbell,DET,2022,17,9,8,0,,,
Matt LaFleur,GNB,2022,17,8,9,0,,,
Lovie Smith,HOU,2022,17,3,13,1,,,
Frank Reich,IND,2022,9,3,5,1,,,
Jeff Saturday,IND,2022,8,1,7,0,,,
Doug Pederson,JAX,2022,17,9,8,0,2.0,1.0,1.0
