week_ind,day_int,attendance,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,team_rating,team_rating_opp
2.0,2,70858.0,57.0,7.0,62.0,44.0,-1.0,1,53.43091287878786,88.0063500990379,-39.65765398583934,-27.188588627839437,142.22101,174.23708
3.0,2,66829.0,41.0,6.0,68.0,49.0,-13.0,1,91.82739935897436,-23.57861358684885,-23.81738711962088,-20.190135031481542,181.29646,122.64105
5.0,2,93054.0,59.4390243902439,8.56071964017991,58.11832611832612,49.5,-9.0,1,47.68175164473687,96.70325454545454,-34.28085548484321,7.23702200815694,141.36313,136.97887
6.0,2,66726.0,59.4390243902439,8.56071964017991,58.11832611832612,54.5,-9.0,1,83.28974165619331,97.82068020086086,-15.927481052014748,21.96350488759276,162.73451,148.81522
7.0,2,66829.0,80.0,9.0,58.0,47.5,-7.0,1,97.41813348416292,191.38500000000008,-12.843221273004607,17.497646312305612,142.8141,160.32732
8.0,5,66829.0,39.0,10.0,58.0,50.5,-7.0,1,96.33425709174546,250.295,-5.458582327670152,-3.775269602320735,169.10788,129.89180000000002
9.0,2,66829.0,34.0,12.0,54.0,52.0,-14.0,1,100.18501554001548,56.61007185482888,0.9920915834591066,-16.66662117793171,183.39417,110.9335
10.0,2,81061.0,31.0,8.0,60.0,54.0,-7.0,1,35.57124158526592,104.2058258258258,-36.23776204182847,18.18233339562008,154.89183,160.64333000000002
11.0,1,66829.0,40.0,8.0,29.0,48.0,-7.0,1,103.11907567832624,53.87771921627267,-1.9900385681060897,-10.603530036607944,138.56235,149.56192
12.0,2,76970.0,75.0,3.0,23.0,43.5,-2.0,1,126.28471014492756,102.95499266324286,-18.32183790000363,11.583922928606942,176.32836,128.72452
13.0,2,66829.0,49.0,5.0,52.0,49.0,-8.0,1,99.2904583333334,78.13955178155179,3.8627467796504966,-3.6614257865200983,173.5183,112.69797
14.0,2,71908.0,59.4390243902439,8.56071964017991,58.11832611832612,45.0,-3.0,1,81.48990683229805,102.24913068610596,-9.565108152162969,-0.4717699395677934,104.28856,155.34883
15.0,2,66829.0,41.0,12.0,40.0,46.5,-14.0,1,104.4982991071428,18.8495833333333,1.7099545226389457,-7.06955584888521,144.98351,138.89732
16.0,2,78160.0,83.0,11.0,57.0,45.0,-3.0,1,122.88967532467534,105.3732255523774,-5.349460538711646,-15.444830147723517,169.92478,132.9287
17.0,2,62918.0,65.0,7.0,80.0,46.5,-9.0,1,3.747603896103996,101.69504370629372,-5.469807909713081,-11.659140799364788,163.8799,117.73784
21.0,3,66829.0,86.0,6.0,38.0,43.0,-4.0,1,96.21998927958836,61.89007894736851,-17.494044267425416,3.2231911724177635,124.46169,173.5996
,2,77112.0,36.0,6.0,46.0,44.5,-3.0,1,132.0252777777778,94.97353703703698,-3.552814918622213,-25.69784427757461,127.72629,147.35906
2.0,1,65220.0,59.4390243902439,8.56071964017991,58.11832611832612,46.5,-7.0,0,92.57303634085216,99.87999999999997,-65.16552345456431,39.22073814137427,138.10192,149.15361
3.0,2,78160.0,52.0,7.0,66.0,45.5,-1.0,1,91.40499999999996,82.60555307539687,12.350831700163289,-32.043109012558524,149.64869000000002,119.50144000000002
4.0,2,83986.0,63.0,5.0,59.0,42.0,-1.0,1,43.50507389162566,112.51166666666664,-20.675203752145364,21.599527513593003,104.38524,172.99364
6.0,2,78160.0,30.0,16.0,49.0,40.5,-7.0,1,155.75,74.08552631578942,-6.976595310966684,-12.429911117053132,169.62617,120.55808000000002
8.0,2,54700.0,70.0,8.0,68.0,44.0,-3.0,1,27.003333333333373,172.84083333333336,-4.626592302883358,4.058960841436125,163.91073,149.18871
9.0,2,78160.0,36.0,10.0,56.0,42.0,-8.0,1,143.88071428571428,-18.678556658395337,-15.428943987986813,7.408289633645946,141.78658,159.66952
10.0,5,78160.0,75.0,16.0,60.0,42.5,-2.0,1,116.48065476190476,54.39872679045092,-9.350026437378164,-12.570418614133468,129.0451,141.78158000000002
11.0,2,71718.0,59.4390243902439,8.56071964017991,58.11832611832612,40.5,-3.0,1,74.18321428571431,114.50361111111108,-21.189758673960885,-2.4072944695053957,157.52458,122.96265
12.0,2,78160.0,44.0,5.0,45.0,42.5,-4.0,1,99.21428571428572,31.20866666666668,-7.563781759013747,-3.83172450142928,159.00517000000002,144.83051
13.0,2,80898.0,50.0,8.0,51.0,46.5,-2.0,1,35.53515872180717,105.37375,-17.813280737294736,5.197093082687188,147.53271,192.1164
14.0,2,78160.0,59.4390243902439,8.56071964017991,58.11832611832612,43.0,-7.0,1,112.01811111111112,43.90674999999993,-11.717081650925117,-15.704126978645307,175.89949,123.67705
15.0,3,90345.0,59.4390243902439,8.56071964017991,58.11832611832612,41.5,-3.0,1,45.00584515366427,121.93688461538456,-46.428551892521384,23.051567330783072,129.98043,157.51597
17.0,2,68670.0,70.0,21.0,35.0,42.0,-3.0,1,57.92069773533212,129.4108333333334,-25.838431789992597,6.605270115388734,163.55801,108.03616
3.0,2,64869.0,65.0,6.0,87.0,41.5,-2.0,0,44.64713343958276,48.96611596638651,-29.05723444803582,36.95543978570649,147.50699,162.59720000000002
4.0,2,70677.0,66.0,8.0,60.0,45.5,-5.0,1,51.3493818181818,42.97658482142858,-8.445336404902402,-15.5527207962288,138.4492,138.90297
5.0,2,65670.0,58.0,5.0,67.0,42.0,-1.0,1,8.207832658569494,51.69836399108135,-23.98689192090998,3.8017887384205378,149.31132000000002,103.67609
6.0,2,69593.0,73.0,4.0,40.0,43.0,-3.0,0,50.18911286286279,96.74552564102572,-22.265634292039625,2.238727944427849,147.85209,146.91001
7.0,2,84021.0,74.0,2.0,48.0,41.0,-4.0,1,-18.864311975591093,50.66599937343359,-11.540804109482997,-13.249686903913767,130.71564,153.56997
9.0,2,70214.0,55.0,7.0,49.0,44.0,-3.0,1,53.209860123784274,122.43749999999996,1.6895871203316366,-1.6492050101788056,152.50879,150.54026000000002
12.0,2,72493.0,99.0,7.0,35.0,41.5,-5.0,0,60.67486406601649,52.74505952380958,-8.05975796573703,-8.627222557618737,151.79279,156.24039000000002
13.0,2,68544.0,65.0,8.0,47.0,41.5,-3.0,1,52.9560514682242,81.84269067486453,-31.892157121950184,14.15936984672182,142.72168000000002,158.85103
14.0,2,69596.0,68.0,3.0,66.0,47.0,-1.0,0,73.97341666666665,53.16873748609558,-8.053670249797854,15.751253606986332,130.22235,167.63196
15.0,2,80124.0,30.0,3.0,43.0,44.0,-2.0,1,50.5229391849529,54.81083680555554,13.522377799646089,-6.46290156201866,156.99546,159.3219
16.0,2,70172.0,83.0,11.0,39.0,42.0,-6.0,1,55.300044924614255,44.00417078664032,-4.567622609820198,5.42652965348417,152.6977,131.86433
2.0,2,65443.0,55.0,5.0,87.0,41.5,-6.0,1,-26.7422053872054,44.384388341543456,18.804774251807174,-24.441342011807222,151.91243,153.67106
6.0,2,62342.0,39.0,8.0,56.0,43.5,-2.0,0,14.572812499999984,50.0,-7.411528796978285,-11.708891413787534,134.30238,161.14037
7.0,2,65251.0,62.0,13.0,84.0,44.5,-4.0,1,233.38,80.53335858585855,-8.090769979227375,6.966017005151968,171.59094,137.76883
10.0,2,69596.0,34.0,13.0,59.0,49.5,-6.0,0,84.9642783215661,99.5575,8.156441198432963,6.124159724552101,166.61372,132.04913
