date,player_id,player_name,team,scoring_xpm,scoring_xpa,scoring_fgm,scoring_fga,punt,punt_yds,punt_yds_per_punt,punt_long
2015-09-10,scobejos01,Josh Scobee,PIT,1.0,1.0,2.0,4.0,0,0,,
2015-09-10,BerrJo00,Jordan Berry,PIT,,,,,2,87,43.5,50.0
2015-09-10,GostSt20,Stephen Gostkowski,NWE,4.0,4.0,,,0,0,,
2015-09-10,AlleRy01,Ryan Allen,NWE,,,,,4,191,47.8,67.0
2015-09-13,CrosMa20,Mason Crosby,GNB,4.0,4.0,1.0,1.0,0,0,,
2015-09-13,MastTi99,Tim Masthay,GNB,,,,,2,97,48.5,54.0
2015-09-13,gouldrob01,Robbie Gould,CHI,2.0,2.0,3.0,3.0,0,0,,
2015-09-13,ODonPa00,Pat O'Donnell,CHI,,,,,1,56,56.0,56.0
2015-09-13,HausSt00,Stephen Hauschka,SEA,2.0,2.0,3.0,3.0,0,0,,
2015-09-13,RyanJo21,Jon Ryan,SEA,,,,,4,207,51.8,73.0
2015-09-13,ZuerGr00,Greg Zuerlein,STL,4.0,4.0,2.0,2.0,0,0,,
2015-09-13,HekkJo00,Johnny Hekker,STL,,,,,3,142,47.3,55.0
2015-09-13,SantCa01,Cairo Santos,KAN,3.0,3.0,2.0,3.0,0,0,,
2015-09-13,ColqDu20,Dustin Colquitt,KAN,,,,,7,307,43.9,56.0
2015-09-13,BullRa00,Randy Bullock,HOU,,1.0,2.0,2.0,0,0,,
2015-09-13,LechSh20,Shane Lechler,HOU,,,,,7,329,47.0,57.0
2015-09-13,FranAn01,Andrew Franks,MIA,2.0,2.0,1.0,1.0,0,0,,
2015-09-13,DarrMa00,Matt Darr,MIA,,,,,4,217,54.3,63.0
2015-09-13,ForbKa00,Kai Forbath,WAS,1.0,1.0,1.0,2.0,0,0,,
2015-09-13,WayxTr00,Tress Way,WAS,,,,,3,124,41.3,54.0
2015-09-13,McAfPa44,Pat McAfee,IND,,,,,4,177,44.3,48.0
2015-09-13,vinatada01,Adam Vinatieri,IND,,,,1.0,0,0,,
2015-09-13,CarpDa44,Dan Carpenter,BUF,3.0,3.0,2.0,2.0,0,0,,
2015-09-13,SchmCo00,Colton Schmidt,BUF,,,,,5,252,50.4,63.0
2015-09-13,GanoGr44,Graham Gano,CAR,2.0,2.0,2.0,4.0,0,0,,
2015-09-13,NortBr00,Brad Nortman,CAR,,,,,4,179,44.8,56.0
2015-09-13,MyerJa00,Jason Myers,JAX,,1.0,1.0,2.0,0,0,,0.0
2015-09-13,AngeBr00,Bryan Anger,JAX,,,,,5,231,46.2,56.0
2015-09-13,CoonTr00,Travis Coons,CLE,1.0,1.0,1.0,1.0,0,0,,
2015-09-13,LeexAn20,Andy Lee,CLE,,,,,2,121,60.5,61.0
2015-09-13,FolkNi20,Nick Folk,NYJ,4.0,4.0,1.0,1.0,0,0,,
2015-09-13,QuigRy00,Ryan Quigley,NYJ,,,,,3,131,43.7,52.0
2015-09-13,HockZa00,Zach Hocker,NOR,1.0,1.0,4.0,4.0,0,0,,
2015-09-13,MorsTh00,Thomas Morstead,NOR,,,,,4,171,42.8,54.0
2015-09-13,CataCh00,Chandler Catanzaro,ARI,4.0,4.0,1.0,1.0,0,0,,
2015-09-13,ButlDr00,Drew Butler,ARI,,,,,4,158,39.5,47.0
2015-09-13,PratMa20,Matt Prater,DET,4.0,4.0,,,0,0,,
2015-09-13,MartSa01,Sam Martin,DET,,,,,5,176,35.2,42.0
2015-09-13,LambJo00,Josh Lambo,SDG,3.0,4.0,2.0,2.0,0,0,,0.0
2015-09-13,ScifMi20,Mike Scifres,SDG,,,,,2,104,52.0,58.0
2015-09-13,nugenmik01,Mike Nugent,CIN,3.0,4.0,2.0,2.0,0,0,,
2015-09-13,HubeKe20,Kevin Huber,CIN,,,,,5,219,43.8,53.0
2015-09-13,janikseb01,Sebastian Janikowski,OAK,1.0,1.0,,,0,0,,
2015-09-13,KingMa00,Marquette King,OAK,,,,,6,260,43.3,48.0
2015-09-13,TuckJu00,Justin Tucker,BAL,1.0,1.0,2.0,2.0,0,0,,
2015-09-13,KochSa20,Sam Koch,BAL,,,,,6,310,51.7,59.0
2015-09-13,McMaBr01,Brandon McManus,DEN,1.0,1.0,4.0,4.0,0,0,,0.0
2015-09-13,ColqBr00,Britton Colquitt,DEN,,,,,5,259,51.8,62.0
2015-09-13,SuccRy44,Ryan Succop,TEN,6.0,6.0,,,0,0,,
2015-09-13,KernBr20,Brett Kern,TEN,,,,,4,189,47.3,57.0
