date,player_id,player_name,team,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,kick_ret_long,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt_ret_long
2017-09-07,ThomDe05,De'Anthony Thomas,KAN,4,86,21.5,0,31,2,3,1.5,0,3
2017-09-07,HillTy00,Tyreek Hill,KAN,0,0,,0,0,2,7,3.5,0,7
2017-09-07,AmenDa00,Danny Amendola,NWE,0,0,,0,0,1,8,8.0,0,8
2017-09-07,LewiDi00,Dion Lewis,NWE,3,49,16.3,0,26,0,0,,0,0
2017-09-10,RobeAn00,Andre Roberts,ATL,1,11,11.0,0,11,2,24,12.0,0,15
2017-09-10,CoheTa00,Tarik Cohen,CHI,0,0,,0,0,3,45,15.0,0,17
2017-09-10,ThomDe04,Deonte Thompson,CHI,2,47,23.5,0,27,0,0,,0,0
2017-09-10,CunnBe01,Benny Cunningham,CHI,1,23,23.0,0,23,0,0,,0,0
2017-09-10,RaymKa00,Kalif Raymond,NYJ,2,45,22.5,0,25,3,27,9.0,0,25
2017-09-10,TateBr00,Brandon Tate,BUF,1,23,23.0,0,23,4,35,8.8,0,19
2017-09-10,CampMi02,Michael Campanaro,BAL,0,0,,0,0,3,23,7.7,0,15
2017-09-10,EricAl01,Alex Erickson,CIN,1,11,11.0,0,11,3,14,4.7,0,12
2017-09-10,RogeEl00,Eli Rogers,PIT,0,0,,0,0,3,32,10.7,0,13
2017-09-10,SmitJu00,JuJu Smith-Schuster,PIT,1,4,4.0,0,4,0,0,,0,0
2017-09-10,PeppJa00,Jabrill Peppers,CLE,1,14,14.0,0,14,3,34,11.3,0,25
2017-09-10,WillKe05,Kerwynn Williams,ARI,2,46,23.0,0,23,1,0,0.0,0,0
2017-09-10,AgneJa00,Jamal Agnew,DET,1,18,18.0,0,18,3,48,16.0,0,24
2017-09-10,WashDw00,Dwayne Washington,DET,2,31,15.5,0,18,0,0,,0,0
2017-09-10,LeexMa00,Marqise Lee,JAX,0,0,,0,0,1,7,7.0,0,7
2017-09-10,ErviTy00,Tyler Ervin,HOU,1,24,24.0,0,24,1,21,21.0,0,21
2017-09-10,RichJa01,Jalen Richard,OAK,0,0,,0,0,2,5,2.5,0,5
2017-09-10,PattCo00,Cordarrelle Patterson,OAK,1,41,41.0,0,41,0,0,,0,0
2017-09-10,JackAd00,Adoree' Jackson,TEN,1,35,35.0,0,35,1,5,5.0,0,5
2017-09-10,CeleBr00,Brent Celek,PHI,1,8,8.0,0,8,0,0,,0,0
2017-09-10,CrowJa00,Jamison Crowder,WAS,0,0,,0,0,2,3,1.5,0,3
2017-09-10,BreeBa00,Bashaud Breeland,WAS,3,59,19.7,0,24,0,0,,0,0
2017-09-10,ThomCh03,Chris Thompson,WAS,1,18,18.0,0,18,0,0,,0,0
2017-09-10,BrayQu00,Quan Bray,IND,0,0,,0,0,3,0,0.0,0,0
2017-09-10,AustTa00,Tavon Austin,LAR,1,13,13.0,0,13,3,15,5.0,0,8
2017-09-10,CoopPh00,Pharoh Cooper,LAR,1,35,35.0,0,35,0,0,,0,0
2017-09-10,McCaCh01,Christian McCaffrey,CAR,0,0,,0,0,3,7,2.3,0,4
2017-09-10,TaylTr02,Trent Taylor,SFO,0,0,,0,0,1,9,9.0,0,9
2017-09-10,LockTy00,Tyler Lockett,SEA,3,91,30.3,0,43,1,7,7.0,0,7
2017-09-10,DaviTr03,Trevor Davis,GNB,0,0,,0,0,2,0,0.0,0,0
2017-09-10,HarrDw00,Dwayne Harris,NYG,2,42,21.0,0,23,1,1,1.0,0,1
2017-09-10,SwitRy00,Ryan Switzer,DAL,2,42,21.0,0,25,1,0,0.0,0,0
2017-09-11,GinnTe00,Ted Ginn Jr.,NOR,0,0,,0,0,1,0,0.0,0,0
2017-09-11,EdmuTr00,Trey Edmunds,NOR,1,22,22.0,0,22,0,0,,0,0
2017-09-11,KamaAl00,Alvin Kamara,NOR,1,26,26.0,0,26,0,0,,0,0
2017-09-11,KuhnJo00,John Kuhn,NOR,1,9,9.0,0,9,0,0,,0,0
2017-09-11,SherMa20,Marcus Sherels,MIN,0,0,,0,0,2,11,5.5,0,13
2017-09-11,McKiJe00,Jerick McKinnon,MIN,4,108,27.0,0,39,0,0,,0,0
2017-09-11,BenjTr00,Travis Benjamin,LAC,0,0,,0,0,1,-3,-3.0,0,-3
2017-09-11,McKeIs00,Isaiah McKenzie,DEN,0,0,,0,0,3,48,16.0,0,31
2017-09-11,LatiCo00,Cody Latimer,DEN,1,36,36.0,0,36,0,0,,0,0
2017-09-14,ErviTy00,Tyler Ervin,HOU,1,17,17.0,0,17,3,15,5.0,0,7
2017-09-14,EricAl01,Alex Erickson,CIN,2,76,38.0,0,41,4,57,14.3,0,26
2017-09-14,JonePa20,Adam Jones,CIN,0,0,,0,0,2,41,20.5,0,33
2017-09-17,ClayKa00,Kaelin Clay,BUF,0,0,,0,0,2,2,1.0,0,2
2017-09-17,McCaCh01,Christian McCaffrey,CAR,0,0,,0,0,5,30,6.0,0,11
2017-09-17,CoheTa00,Tarik Cohen,CHI,0,0,,0,0,2,10,5.0,0,10
2017-09-17,ThomDe04,Deonte Thompson,CHI,2,43,21.5,0,22,0,0,,0,0
2017-09-17,ReedBe01,Bernard Reedy,TAM,0,0,,0,0,1,17,17.0,0,17
2017-09-17,PeppJa00,Jabrill Peppers,CLE,1,18,18.0,0,18,1,0,0.0,0,0
2017-09-17,CampMi02,Michael Campanaro,BAL,0,0,,0,0,3,19,6.3,0,14
2017-09-17,WillKe05,Kerwynn Williams,ARI,2,35,17.5,0,21,1,6,6.0,0,6
2017-09-17,BrayQu00,Quan Bray,IND,3,79,26.3,0,30,4,23,5.8,0,16
2017-09-17,JackAd00,Adoree' Jackson,TEN,0,0,,0,0,2,55,27.5,0,46
2017-09-17,DeckEr00,Eric Decker,TEN,1,22,22.0,0,22,0,0,,0,0
2017-09-17,WeemEr00,Eric Weems,TEN,1,0,0.0,0,0,0,0,,0,0
2017-09-17,LeexMa00,Marqise Lee,JAX,0,0,,0,0,1,4,4.0,0,4
