coach_name,coach_link,team_link,home_away,boxscore_id,date
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201309050den,2013-09-05
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201309050den,2013-09-05
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201309080buf,2013-09-08
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201309080buf,2013-09-08
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201309080car,2013-09-08
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201309080car,2013-09-08
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201309080chi,2013-09-08
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,home,201309080chi,2013-09-08
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,away,201309080cle,2013-09-08
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201309080cle,2013-09-08
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,away,201309080clt,2013-09-08
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,home,201309080clt,2013-09-08
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201309080dal,2013-09-08
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201309080dal,2013-09-08
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,away,201309080det,2013-09-08
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201309080det,2013-09-08
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201309080jax,2013-09-08
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201309080jax,2013-09-08
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,away,201309080nor,2013-09-08
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201309080nor,2013-09-08
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201309080nyj,2013-09-08
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201309080nyj,2013-09-08
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,away,201309080pit,2013-09-08
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,home,201309080pit,2013-09-08
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201309080ram,2013-09-08
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201309080ram,2013-09-08
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201309080sfo,2013-09-08
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201309080sfo,2013-09-08
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201309090sdg,2013-09-09
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,home,201309090sdg,2013-09-09
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201309090was,2013-09-09
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,home,201309090was,2013-09-09
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201309120nwe,2013-09-12
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201309120nwe,2013-09-12
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201309150atl,2013-09-15
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201309150atl,2013-09-15
