first_year,last_year,games_won,games_lost,games_tied,win_loss_pct,years_in_playoffs,playoff_wins,playoff_losses,playoff_win_loss_pct,super_bowls_wins,conf_champ_wins,div_champ_wins,current_team_nm,team_nm,team_url
1994.0,2024.0,203.0,281.0,2.0,0.42,6.0,6.0,6.0,,0.0,1.0,3.0,Arizona Cardinals,Arizona Cardinals,https://www.pro-football-reference.com/teams/crd/
1966.0,2024.0,391.0,505.0,6.0,0.437,14.0,10.0,14.0,0.417,0.0,2.0,7.0,Atlanta Falcons,Atlanta Falcons,https://www.pro-football-reference.com/teams/atl/
1996.0,2024.0,257.0,196.0,1.0,0.567,15.0,17.0,13.0,0.567,2.0,2.0,7.0,Baltimore Ravens,Baltimore Ravens,https://www.pro-football-reference.com/teams/rav/
1960.0,2024.0,475.0,501.0,8.0,0.487,23.0,19.0,21.0,0.475,0.0,4.0,15.0,Buffalo Bills,Buffalo Bills,https://www.pro-football-reference.com/teams/buf/
1995.0,2024.0,215.0,254.0,1.0,0.459,8.0,9.0,8.0,0.529,0.0,2.0,6.0,Carolina Panthers,Carolina Panthers,https://www.pro-football-reference.com/teams/car/
1922.0,2024.0,775.0,634.0,39.0,0.55,27.0,17.0,20.0,,1.0,2.0,23.0,Chicago Bears,Chicago Bears,https://www.pro-football-reference.com/teams/chi/
1968.0,2024.0,394.0,473.0,5.0,0.455,16.0,10.0,16.0,0.385,0.0,3.0,12.0,Cincinnati Bengals,Cincinnati Bengals,https://www.pro-football-reference.com/teams/cin/
1946.0,2024.0,560.0,536.0,14.0,0.511,30.0,17.0,22.0,0.436,0.0,0.0,23.0,Cleveland Browns,Cleveland Browns,https://www.pro-football-reference.com/teams/cle/
1960.0,2024.0,563.0,415.0,6.0,0.576,36.0,36.0,31.0,0.537,5.0,8.0,26.0,Dallas Cowboys,Dallas Cowboys,https://www.pro-football-reference.com/teams/dal/
1960.0,2024.0,509.0,467.0,10.0,0.521,22.0,23.0,19.0,0.548,3.0,8.0,15.0,Denver Broncos,Denver Broncos,https://www.pro-football-reference.com/teams/den/
